Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Sunday Apr 4,boxscore,BOS,@,BAL,L,2,7,,0-1,5,1.0,Ponson,Martinez,Ryan,3:21,N,47683,-,
2,Tuesday Apr 6,boxscore,BOS,@,BAL,W,4,1,,1-1,2,0.5,Schilling,DuBose,Foulke,2:53,D,35355,+,
3,Wednesday Apr 7,boxscore,BOS,@,BAL,W,10,3,,2-1,1,up 0.5,Lowe,Ainsworth,,2:50,N,28373,++,
4,Thursday Apr 8,boxscore,BOS,@,BAL,L-wo,2,3,13,2-2,2,0.5,Lopez,Jones,,4:37,N,31121,-,
5,Friday Apr 9,boxscore,BOS,,TOR,L,5,10,,2-3,3,1.0,Speier,Timlin,,2:56,D,34337,--,
6,Saturday Apr 10,boxscore,BOS,,TOR,W,4,1,,3-3,1,Tied,Martinez,Halladay,Foulke,2:13,N,35305,+,
7,Sunday Apr 11,boxscore,BOS,,TOR,W-wo,6,4,12,4-3,1,Tied,Malaska,Lopez,,3:53,D,34286,++,
8,Thursday Apr 15,boxscore,BOS,,BAL,L,7,12,11,4-4,2,0.5,Groom,Arroyo,,4:28,N,35271,-,
9,Friday Apr 16,boxscore,BOS,,NYY,W,6,2,,5-4,1,Tied,Wakefield,Vazquez,,3:07,N,35163,+,
10,Saturday Apr 17,boxscore,BOS,,NYY,W,5,2,,6-4,1,Tied,Schilling,Mussina,,3:05,D,35023,++,
11,Sunday Apr 18,boxscore,BOS,,NYY,L,3,7,,6-5,2,1.0,Quantrill,Lowe,,3:20,D,35011,-,
12,Monday Apr 19,boxscore,BOS,,NYY,W,5,4,,7-5,2,0.5,Timlin,Gordon,Foulke,2:53,D,35027,+,
13,Tuesday Apr 20,boxscore,BOS,@,TOR,W,4,2,,8-5,2,0.5,Martinez,Halladay,Foulke,2:32,N,26010,++,
14,Wednesday Apr 21,boxscore,BOS,@,TOR,W,4,2,,9-5,1,up 0.5,Wakefield,Lilly,Foulke,2:50,N,16163,+++,
15,Thursday Apr 22,boxscore,BOS,@,TOR,L,3,7,,9-6,2,0.5,Adams,Schilling,,2:48,N,16480,-,
16,Friday Apr 23,boxscore,BOS,@,NYY,W,11,2,,10-6,2,0.5,Lowe,Contreras,,3:16,N,55001,+,
17,Saturday Apr 24,boxscore,BOS,@,NYY,W,3,2,12,11-6,1,up 0.5,Foulke,Quantrill,Timlin,4:05,D,55195,++,
18,Sunday Apr 25,boxscore,BOS,@,NYY,W,2,0,,12-6,1,up 1.5,Martinez,Vazquez,Williamson,2:48,D,55338,+++,
19,Wednesday Apr 28,boxscore,BOS,,TBD,W,6,0,,13-6,1,up 2.0,Schilling,Abbott,,2:36,N,35120,++++,
20,Thursday Apr 29 (1),boxscore,BOS,,TBD,W,4,0,,14-6,1,up 2.5,Kim,Zambrano,,2:37,D,35614,+++++,
21,Thursday Apr 29 (2),boxscore,BOS,,TBD,W,7,3,,15-6,1,up 2.5,Lowe,Moss,,2:46,N,35441,++++++,
22,Saturday May 1 (1),boxscore,BOS,@,TEX,L,3,4,,15-7,1,up 2.5,Ramirez,Malaska,Cordero,2:51,N,,-,
23,Saturday May 1 (2),boxscore,BOS,@,TEX,L,5,8,,15-8,1,up 2.5,Benoit,Martinez,Cordero,2:58,N,44598,--,
24,Sunday May 2,boxscore,BOS,@,TEX,L,1,4,,15-9,1,up 1.5,Dickey,Wakefield,Cordero,2:31,N,31538,---,
25,Monday May 3,boxscore,BOS,@,CLE,L,1,2,,15-10,1,up 1.0,Westbrook,Schilling,Betancourt,2:52,N,16285,----,
26,Tuesday May 4,boxscore,BOS,@,CLE,L,6,7,,15-11,1,Tied,Davis,Lowe,Betancourt,2:50,N,16070,-----,
27,Wednesday May 5,boxscore,BOS,@,CLE,W,9,5,,16-11,1,Tied,Arroyo,D'Amico,,3:17,N,17370,+,
28,Thursday May 6,boxscore,BOS,@,CLE,W,5,2,,17-11,1,up 1.0,Martinez,Sabathia,Foulke,2:37,N,26825,++,
29,Friday May 7,boxscore,BOS,,KCR,W-wo,7,6,,18-11,1,up 2.0,Timlin,MacDougal,,2:47,N,35280,+++,
30,Saturday May 8,boxscore,BOS,,KCR,W,9,1,,19-11,1,up 2.0,Schilling,Gobble,,2:44,D,34929,++++,
31,Sunday May 9,boxscore,BOS,,KCR,L,4,8,,19-12,1,up 1.0,May,Lowe,,3:20,D,34589,-,
32,Monday May 10,boxscore,BOS,,CLE,L,6,10,,19-13,1,up 0.5,Durbin,Kim,,3:38,N,35257,--,
33,Tuesday May 11,boxscore,BOS,,CLE,W,5,3,,20-13,1,up 0.5,Embree,Jimenez,Foulke,2:32,N,35401,+,
34,Wednesday May 12,boxscore,BOS,,CLE,L,4,6,,20-14,1,up 0.5,Lee,Wakefield,,2:49,N,35371,-,
35,Thursday May 13,boxscore,BOS,@,TOR,L,6,12,,20-15,2,0.5,Batista,Schilling,,3:20,N,20876,--,
36,Friday May 14,boxscore,BOS,@,TOR,W,9,3,,21-15,2,0.5,Embree,Ligtenberg,,2:55,N,20948,+,
37,Saturday May 15,boxscore,BOS,@,TOR,W,4,0,,22-15,1,up 0.5,Arroyo,Hentgen,,2:24,D,36841,++,
38,Sunday May 16,boxscore,BOS,@,TOR,L,1,3,,22-16,2,0.5,Halladay,Martinez,Adams,2:29,D,31618,-,
39,Tuesday May 18,boxscore,BOS,@,TBD,W,7,3,,23-16,1,up 0.5,Wakefield,Hendrickson,,2:55,N,12836,+,
40,Wednesday May 19,boxscore,BOS,@,TBD,W,4,1,,24-16,1,up 0.5,Schilling,Bell,Foulke,2:50,N,13960,++,
41,Thursday May 20,boxscore,BOS,@,TBD,L,6,9,,24-17,2,0.5,Sosa,Lowe,Baez,3:18,N,12401,-,
42,Friday May 21,boxscore,BOS,,TOR,W,11,5,,25-17,1,up 0.5,Timlin,Nakamura,,2:45,N,35287,+,
43,Saturday May 22,boxscore,BOS,,TOR,W,5,2,,26-17,1,up 1.5,Martinez,Ligtenberg,Foulke,2:54,N,35196,++,
44,Sunday May 23,boxscore,BOS,,TOR,W,7,2,,27-17,1,up 1.5,Wakefield,Batista,,2:39,D,35239,+++,
45,Tuesday May 25,boxscore,BOS,,OAK,W,12,2,,28-17,1,up 1.5,Schilling,Hudson,,3:15,N,35236,++++,
46,Wednesday May 26,boxscore,BOS,,OAK,W,9,6,,29-17,1,up 1.5,Lowe,Redman,Foulke,3:13,N,34931,+++++,
47,Thursday May 27,boxscore,BOS,,OAK,L,2,15,,29-18,1,up 0.5,Mulder,Arroyo,,3:10,N,35438,-,
48,Friday May 28,boxscore,BOS,,SEA,W,8,4,,30-18,1,up 0.5,Martinez,Pineiro,,2:42,N,35134,+,
49,Saturday May 29,boxscore,BOS,,SEA,L,4,5,,30-19,2,0.5,Garcia,Wakefield,Guardado,3:10,D,35250,-,
50,Sunday May 30,boxscore,BOS,,SEA,W-wo,9,7,12,31-19,1,up 0.5,Martinez,Putz,,3:54,D,35046,+,
51,Monday May 31,boxscore,BOS,,BAL,L,4,13,,31-20,1,Tied,Lopez,Lowe,,3:31,D,35465,-,
52,Tuesday Jun 1,boxscore,BOS,@,ANA,L,6,7,,31-21,2,1.0,Gregg,Arroyo,Percival,3:26,N,43285,--,
53,Wednesday Jun 2,boxscore,BOS,@,ANA,L,7,10,,31-22,2,2.0,Ortiz,Timlin,Rodriguez,3:00,N,43205,---,
54,Friday Jun 4,boxscore,BOS,@,KCR,L,2,5,,31-23,2,3.5,Gobble,Wakefield,Affeldt,2:41,N,28182,----,
55,Saturday Jun 5,boxscore,BOS,@,KCR,W,8,4,,32-23,2,2.5,Schilling,May,,2:38,N,29968,+,
56,Sunday Jun 6,boxscore,BOS,@,KCR,W,5,3,,33-23,2,2.5,Lowe,Grimsley,Foulke,2:47,D,22964,++,
57,Tuesday Jun 8,boxscore,BOS,,SDP,W,1,0,,34-23,2,2.5,Martinez,Osuna,Foulke,2:27,N,35205,+++,
58,Wednesday Jun 9,boxscore,BOS,,SDP,L,1,8,,34-24,2,3.5,Lawrence,Arroyo,,2:44,N,35064,-,
59,Thursday Jun 10,boxscore,BOS,,SDP,W,9,3,,35-24,2,3.5,Schilling,Valdez,,2:51,N,35068,+,
60,Friday Jun 11,boxscore,BOS,,LAD,W-wo,2,1,,36-24,2,2.5,Foulke,Martin,,2:32,N,35173,++,
61,Saturday Jun 12,boxscore,BOS,,LAD,L,5,14,,36-25,2,3.5,Weaver,Wakefield,,3:25,D,34671,-,
62,Sunday Jun 13,boxscore,BOS,,LAD,W,4,1,,37-25,2,3.5,Martinez,Nomo,Foulke,3:00,N,35068,+,
63,Tuesday Jun 15,boxscore,BOS,@,COL,L,3,6,,37-26,2,4.5,Kennedy,Arroyo,Chacon,2:53,N,40489,-,
64,Wednesday Jun 16,boxscore,BOS,@,COL,L,6,7,,37-27,2,5.5,Jennings,Schilling,Chacon,3:02,N,39319,--,
65,Thursday Jun 17,boxscore,BOS,@,COL,W,11,0,,38-27,2,4.5,Lowe,Cook,,3:16,D,40088,+,
66,Friday Jun 18,boxscore,BOS,@,SFG,W,14,9,,39-27,2,3.5,Timlin,Williams,,3:10,N,42557,++,
67,Saturday Jun 19,boxscore,BOS,@,SFG,L,4,6,,39-28,2,4.5,Herges,Embree,,3:01,D,42499,-,
68,Sunday Jun 20,boxscore,BOS,@,SFG,L,0,4,,39-29,2,4.5,Schmidt,Arroyo,,2:35,D,42568,--,
69,Tuesday Jun 22,boxscore,BOS,,MIN,W,9,2,,40-29,2,4.5,Schilling,Lohse,,2:48,N,35261,+,
70,Wednesday Jun 23,boxscore,BOS,,MIN,L,2,4,,40-30,2,4.5,Silva,Lowe,Nathan,2:43,N,35233,-,
71,Thursday Jun 24,boxscore,BOS,,MIN,L,3,4,10,40-31,2,5.5,Balfour,Foulke,Nathan,2:48,D,34827,--,
72,Friday Jun 25,boxscore,BOS,,PHI,W,12,1,8,41-31,2,5.0,Martinez,Abbott,,2:27,N,35059,+,
73,Saturday Jun 26,boxscore,BOS,,PHI,L,2,9,,41-32,2,5.0,Madson,Arroyo,,3:11,D,34712,-,
74,Sunday Jun 27,boxscore,BOS,,PHI,W,12,3,,42-32,2,5.5,Schilling,Myers,,2:56,D,34739,+,
75,Tuesday Jun 29,boxscore,BOS,@,NYY,L,3,11,,42-33,2,6.5,Vazquez,Lowe,,2:50,N,55231,-,
76,Wednesday Jun 30,boxscore,BOS,@,NYY,L,2,4,,42-34,2,7.5,Gordon,Timlin,Rivera,3:11,N,55023,--,
77,Thursday Jul 1,boxscore,BOS,@,NYY,L-wo,4,5,13,42-35,2,8.5,Sturtze,Leskanic,,4:20,N,55265,---,
78,Friday Jul 2,boxscore,BOS,@,ATL,L-wo,3,6,12,42-36,2,8.5,Cruz,Martinez,,3:38,N,42231,----,
79,Saturday Jul 3,boxscore,BOS,@,ATL,W,6,1,,43-36,2,7.5,Schilling,Thomson,,2:33,N,51831,+,
80,Sunday Jul 4,boxscore,BOS,@,ATL,L,4,10,,43-37,2,7.5,Hampton,Lowe,,2:36,D,41414,-,
81,Tuesday Jul 6,boxscore,BOS,,OAK,W,11,0,,44-37,2,7.0,Wakefield,Zito,,2:49,N,35302,+,
82,Wednesday Jul 7,boxscore,BOS,,OAK,W,11,3,,45-37,2,6.0,Martinez,Redman,,2:36,N,35012,++,
83,Thursday Jul 8,boxscore,BOS,,OAK,W-wo,8,7,10,46-37,2,6.0,Leskanic,Lehr,,3:33,N,35144,+++,
84,Friday Jul 9,boxscore,BOS,,TEX,W,7,0,,47-37,2,6.0,Arroyo,Benoit,,2:29,N,35030,++++,
85,Saturday Jul 10,boxscore,BOS,,TEX,W,14,6,,48-37,2,6.0,Lowe,Rogers,,3:05,N,35024,+++++,
86,Sunday Jul 11,boxscore,BOS,,TEX,L,5,6,,48-38,2,7.0,Shouse,Foulke,Cordero,3:04,D,34778,-,
87,Thursday Jul 15,boxscore,BOS,@,ANA,L,1,8,,48-39,2,8.0,Washburn,Lowe,,2:44,N,43623,--,
88,Friday Jul 16,boxscore,BOS,@,ANA,W,4,2,,49-39,2,7.0,Martinez,Escobar,Foulke,3:09,N,43771,+,
89,Saturday Jul 17,boxscore,BOS,@,ANA,L,3,8,,49-40,2,8.0,Colon,Wakefield,,2:51,N,43746,-,
90,Sunday Jul 18,boxscore,BOS,@,ANA,W,6,2,,50-40,2,7.0,Schilling,Lackey,,2:45,D,43613,+,
91,Monday Jul 19,boxscore,BOS,@,SEA,L-wo,4,8,11,50-41,2,7.0,Myers,Leskanic,,3:38,N,42898,-,
92,Tuesday Jul 20,boxscore,BOS,@,SEA,W,9,7,,51-41,2,7.0,Lowe,Pineiro,Foulke,3:50,D,46024,+,
93,Wednesday Jul 21,boxscore,BOS,,BAL,L,5,10,,51-42,2,8.0,Bedard,Martinez,,3:07,N,35023,-,
94,Thursday Jul 22 (1),boxscore,BOS,,BAL,L,3,8,,51-43,2,8.5,Lopez,Alvarez,,2:47,D,34697,--,
95,Thursday Jul 22 (2),boxscore,BOS,,BAL,W,4,0,,52-43,2,8.5,Wakefield,Borkowski,,2:31,N,35370,+,
96,Friday Jul 23,boxscore,BOS,,NYY,L,7,8,,52-44,2,9.5,Gordon,Foulke,Rivera,3:25,N,34933,-,
97,Saturday Jul 24,boxscore,BOS,,NYY,W-wo,11,10,,53-44,2,8.5,Mendoza,Rivera,,3:54,D,34501,+,
98,Sunday Jul 25,boxscore,BOS,,NYY,W,9,6,,54-44,2,7.5,Lowe,Contreras,Foulke,3:35,N,35006,++,
99,Monday Jul 26,boxscore,BOS,@,BAL,W,12,5,,55-44,2,7.5,Martinez,Bedard,,3:15,N,42113,+++,
100,Wednesday Jul 28,boxscore,BOS,@,BAL,L,1,4,,55-45,2,8.0,Borkowski,Schilling,,2:06,N,45780,-,
101,Friday Jul 30,boxscore,BOS,@,MIN,W,8,2,,56-45,2,7.5,Arroyo,Lohse,,2:38,N,34263,+,
102,Saturday Jul 31,boxscore,BOS,@,MIN,L,4,5,,56-46,2,8.5,Rincon,Embree,Nathan,2:37,N,40283,-,
103,Sunday Aug 1,boxscore,BOS,@,MIN,L,3,4,,56-47,2,9.5,Santana,Timlin,Nathan,2:24,D,38751,--,
104,Monday Aug 2,boxscore,BOS,@,TBD,W,6,3,,57-47,2,9.0,Wakefield,Hendrickson,Foulke,2:48,N,21835,+,
105,Tuesday Aug 3,boxscore,BOS,@,TBD,W,5,2,,58-47,2,8.0,Schilling,Bell,,2:36,N,20882,++,
106,Wednesday Aug 4,boxscore,BOS,@,TBD,L,4,5,,58-48,2,9.0,Harper,Arroyo,Baez,2:40,N,18133,-,
107,Friday Aug 6,boxscore,BOS,@,DET,L,3,4,,58-49,2,10.5,Novoa,Lowe,Urbina,2:34,N,40674,--,
108,Saturday Aug 7,boxscore,BOS,@,DET,W,7,4,,59-49,2,10.5,Martinez,Bonderman,,2:41,N,42607,+,
109,Sunday Aug 8,boxscore,BOS,@,DET,W,11,9,,60-49,2,10.5,Wakefield,Robertson,Foulke,2:50,D,40098,++,
110,Monday Aug 9,boxscore,BOS,,TBD,L,3,8,,60-50,2,10.5,Halama,Schilling,,3:10,N,35172,-,
