ogc_fid,gm_,date,yr,format_date,gm_date,field_3,tm,field_5,opp,w/l,r,ra,inn,w_l,rank,gb,win,loss,save,time,d/n,attendance,streak,orig. scheduled,gm_loc,total_wins,total_losses
1,1,Monday Apr 1,2013,Monday Apr 1 2013,#VALUE!,boxscore,BOS,@,NYY,W,8,2,,Jan-00,1,up 0.5,Lester,Sabathia,,3:37,D,49514,+,,NYY,1,0
2,2,Wednesday Apr 3,2013,Wednesday Apr 3 2013,,boxscore,BOS,@,NYY,W,7,4,,Feb-00,1,up 1.0,Buchholz,Kuroda,Hanrahan,3:35,N,40216,++,,NYY,2,0
3,3,Thursday Apr 4,2013,Thursday Apr 4 2013,,boxscore,BOS,@,NYY,L,2,4,,1-Feb,1,Tied,Pettitte,Dempster,Rivera,2:38,N,40611,-,,NYY,2,1
4,4,Friday Apr 5,2013,Friday Apr 5 2013,,boxscore,BOS,@,TOR,W,6,4,,1-Mar,1,Tied,Tazawa,Rogers,Hanrahan,3:35,N,45328,+,,TOR,3,1
5,5,Saturday Apr 6,2013,Saturday Apr 6 2013,,boxscore,BOS,@,TOR,L,0,5,,2-Mar,1,Tied,Happ,Lackey,,2:38,D,45797,-,,TOR,3,2
6,6,Sunday Apr 7,2013,Sunday Apr 7 2013,,boxscore,BOS,@,TOR,W,13,0,,2-Apr,1,up 1.0,Lester,Dickey,,2:44,D,41168,+,,TOR,4,2
13,13,Tuesday Apr 16,2013,Tuesday Apr 16 2013,,boxscore,BOS,@,CLE,W,7,2,,4-Sep,1,up 1.5,Doubront,Jimenez,,3:30,N,9143,++++,,CLE,9,4
14,14,Wednesday Apr 17,2013,Wednesday Apr 17 2013,,boxscore,BOS,@,CLE,W,6,3,,4-Oct,1,up 1.5,Aceves,Masterson,Bailey,3:24,N,10282,+++++,,CLE,10,4
15,15,Thursday Apr 18,2013,Thursday Apr 18 2013,,boxscore,BOS,@,CLE,W,6,3,,4-Nov,1,up 2.5,Lester,McAllister,Bailey,3:13,N,12936,++++++,,CLE,11,4
26,26,Tuesday Apr 30,2013,Tuesday Apr 30 2013,,boxscore,BOS,@,TOR,L,7,9,,18-8,1,up 2.0,Delabar,Tazawa,Janssen,3:14,N,22915,-,,TOR,18,8
27,27,Wednesday May 1,2013,Wednesday May 1 2013,,boxscore,BOS,@,TOR,W,10,1,,19-8,1,up 2.0,Buchholz,Buehrle,,2:52,N,21094,+,,TOR,19,8
28,28,Thursday May 2,2013,Thursday May 2 2013,,boxscore,BOS,@,TOR,W,3,1,,20-8,1,up 2.5,Dempster,Happ,Hanrahan,3:22,N,25851,++,,TOR,20,8
29,29,Friday May 3,2013,Friday May 3 2013,,boxscore,BOS,@,TEX,L,0,7,,20-9,1,up 2.5,Holland,Doubront,,3:04,N,42441,-,,TEX,20,9
30,30,Saturday May 4,2013,Saturday May 4 2013,,boxscore,BOS,@,TEX,L,1,5,,20-10,1,up 1.5,Ogando,Lackey,,2:55,N,47173,--,,TEX,20,10
31,31,Sunday May 5,2013,Sunday May 5 2013,,boxscore,BOS,@,TEX,L-wo,3,4,,20-11,1,up 1.5,Nathan,Mortensen,,3:35,D,46228,---,,TEX,20,11
39,39,Tuesday May 14,2013,Tuesday May 14 2013,,boxscore,BOS,@,TBR,L,3,5,,22-17,3,3,Moore,Lackey,Rodney,3:14,N,15227,---,,TBR,22,17
40,40,Wednesday May 15,2013,Wednesday May 15 2013,,boxscore,BOS,@,TBR,W,9,2,,23-17,2,2,Lester,Price,,3:31,N,15767,+,,TBR,23,17
41,41,Thursday May 16,2013,Thursday May 16 2013,,boxscore,BOS,@,TBR,W,4,3,,24-17,2,1,Tazawa,Rodney,,3:43,N,16055,++,,TBR,24,17
