the_geom,cartodb_id,class,league,team,ballpark,lat,long,length
0102000020E610000002000000D2C5A69542045CC01689096AF8B84040207D93A641C651C0A7E7DD58502C4540,1,Majors,Major League Baseball,Arizona Diamondbacks,Chase Field,33.445081,-112.066564,3697.71696195038
0102000020E6100000020000004E9A0645F31855C07E8FFAEB15DE4040207D93A641C651C0A7E7DD58502C4540,2,Majors,Major League Baseball,Atlanta Braves,Turner Field,33.735044,-84.389848,1505.1491799696
0102000020E6100000020000002CBB6070CD2753C0ABEB504D49A44340207D93A641C651C0A7E7DD58502C4540,3,Majors,Major League Baseball,Baltimore Orioles,Oriole Park at Camden Yards,39.283487,-76.621914,576.770428412877
0102000020E610000002000000207D93A641C651C0A7E7DD58502C4540207D93A641C651C0A7E7DD58502C4540,4,Majors,Major League Baseball,Boston Red Sox,Fenway Park,42.346202,-71.097757,0
0102000020E610000002000000F29881CAF8E955C0B1DF13EB54F94440207D93A641C651C0A7E7DD58502C4540,5,Majors,Major League Baseball,Chicago Cubs,Wrigley Field,41.947904,-87.65581,1367.23713324067
0102000020E610000002000000543BC3D496E855C0DD3F16A243EA4440207D93A641C651C0A7E7DD58502C4540,6,Majors,Major League Baseball,Chicago White Sox,U.S. Cellular Field,41.830189,-87.634206,1367.20762179177
0102000020E610000002000000D89B1892932055C013BBB6B75B8C4340207D93A641C651C0A7E7DD58502C4540,7,Majors,Major League Baseball,Cincinnati Reds,Great American Ball Park,39.096549,-84.509007,1187.65389991391
0102000020E610000002000000079ACFB9DB6B54C0637C98BD6CBF4440207D93A641C651C0A7E7DD58502C4540,8,Majors,Major League Baseball,Cleveland Indians,Progressive Field,41.495506,-81.685286,882.756105028849
0102000020E6100000020000004FE960FD9F3F5AC053927538BAE04340207D93A641C651C0A7E7DD58502C4540,9,Majors,Major League Baseball,Colorado Rockies,Coors Field,39.755683,-104.99414,2845.21101008507
0102000020E61000000200000077A1B94E23C354C0D1EB4FE2732B4540207D93A641C651C0A7E7DD58502C4540,10,Majors,Major League Baseball,Detroit Tigers,Comerica Park,42.339474,-83.049027,984.027834516558
0102000020E6100000020000009AEFE0270E0E54C0246420CF2EC73940207D93A641C651C0A7E7DD58502C4540,11,Majors,Major League Baseball,Miami Marlins,Marlins Park,25.778058,-80.219614,2018.55521323643
0102000020E61000000200000049BA66F2CDD657C01155F833BCC13D40207D93A641C651C0A7E7DD58502C4540,12,Majors,Major League Baseball,Houston Astros,Minute Maid Park,29.756778,-95.356324,2579.58172133715
0102000020E6100000020000001897AAB4C59E57C028EFE3688E864340207D93A641C651C0A7E7DD58502C4540,13,Majors,Major League Baseball,Kansas City Royals,Kauffman Stadium,39.051221,-94.480817,2003.20626311557
0102000020E6100000020000008081204086785DC05C2041F163E64040207D93A641C651C0A7E7DD58502C4540,14,Majors,Major League Baseball,Los Angeles Angels of Anaheim,Angels Stadium,33.799925,-117.883194,4158.75345672277
0102000020E6100000020000005EA27A6B608F5DC06C3D433866094140207D93A641C651C0A7E7DD58502C4540,15,Majors,Major League Baseball,Los Angeles Dodgers,Dodger Stadium,34.073432,-118.24026,4174.30490273861
0102000020E6100000020000006EE00ED429FE55C0E753C72AA5834540207D93A641C651C0A7E7DD58502C4540,16,Majors,Major League Baseball,Milwaukee Brewers,Miller Park,43.028478,-87.971303,1382.58399102415
0102000020E61000000200000072193735D05157C0FE47A643A77D4640207D93A641C651C0A7E7DD58502C4540,17,Majors,Major League Baseball,Minnesota Twins,Target Field,44.981667,-93.278333,1806.95970358179
0102000020E6100000020000002A38BC20227652C0A3737E8AE3604440207D93A641C651C0A7E7DD58502C4540,18,Majors,Major League Baseball,New York Mets,Citi Field,40.756944,-73.845833,289.31924333761
0102000020E610000002000000342C465D6B7B52C0A33CF372D8694440207D93A641C651C0A7E7DD58502C4540,19,Majors,Major League Baseball,New York Yankees,Yankee Stadium,40.826918,-73.928428,290.120163343714
0102000020E6100000020000000BD5CDC5DF8C5EC0205D6C5A29E04240207D93A641C651C0A7E7DD58502C4540,20,Majors,Major League Baseball,Oakland Athletics,Network Associates Coliseum,37.751262,-122.201158,4324.83455444488
0102000020E61000000200000062F3716DA8CA52C04FCB0F5CE5F34340207D93A641C651C0A7E7DD58502C4540,21,Majors,Major League Baseball,Philadelphia Phillies,Citizens Bank Park,39.905437,-75.166535,436.047518041574
