player_id,wc,number,player,captain,position,DOB,age,exp,club,country,league_division,nat_championship,nat_top5,cont_championship,goals_scored,games_played
Taffarel-94,1994,1,Taffarel,0,GK,8-May-66,28,65,Reggiana,Italy,1,0,0,0,0,9
Jorginho-94,1994,2,Jorginho,0,DF,17-Aug-64,29,50,Bayern Munich,Germany,1,1,1,0,0,11
Ricardo Rocha-94,1994,3,Ricardo Rocha,0,DF,11-Sep-62,31,42,Vasco da Gama,Brazil,1,0,0,0,0,9
Ronaldao-94,1994,4,Ronaldao,0,DF,19-Jun-65,28,9,Shimizu S-Pulse,Japan,1,0,1,0,0,1
Mauro Silva-94,1994,5,Mauro Silva,0,MF,12-Jan-68,26,36,Deportivo La Coruña,Spain,1,0,1,0,0,10
Branco-94,1994,6,Branco,0,DF,4-Apr-64,30,73,Fluminense,Brazil,1,0,0,0,1,12
Bebeto-94,1994,7,Bebeto,0,FW,16-Feb-64,30,58,Deportivo La Coruña,Spain,1,0,1,0,8,8
Dunga-94,1994,8,Dunga,0,MF,31-Oct-63,30,48,VfB Stuttgart,Germany,1,0,0,0,2,13
Zinho-94,1994,9,Zinho,0,MF,17-Jun-67,27,32,Palmeiras,Brazil,1,1,1,0,2,12
Rai-94,1994,10,Rai,1,MF,15-May-65,29,46,Paris Saint-Germain,France,1,1,1,0,4,12
Romario-94,1994,11,Romario,0,FW,29-Jan-66,28,34,Barcelona,Spain,1,1,1,0,7,4
Zetti-94,1994,12,Zetti,0,GK,10-Jan-65,29,7,São Paulo,Brazil,1,0,1,1,0,4
Aldair-94,1994,13,Aldair,0,DF,30-Nov-65,28,23,Roma,Italy,1,0,0,0,0,3
Cafu-94,1994,14,Cafu,0,DF,7-Jun-70,24,29,São Paulo,Brazil,1,0,1,1,1,7
Marcio Santos-94,1994,15,Marcio Santos,0,DF,15-Sep-69,24,27,Bordeaux,France,1,0,1,0,1,8
Leonardo-94,1994,16,Leonardo,0,DF,5-Sep-69,24,15,São Paulo,Brazil,1,0,1,1,0,7
Mazinho-94,1994,17,Mazinho,0,MF,8-Apr-66,28,33,Palmeiras,Brazil,1,1,1,0,0,4
Paulo Sergio-94,1994,18,Paulo Sergio,0,MF,2-Jun-69,25,11,Bayer Leverkusen,Germany,1,0,1,0,0,5
Muller-94,1994,19,Muller,0,FW,31-Jan-66,28,56,São Paulo,Brazil,1,0,1,1,1,9
Ronaldo-94,1994,20,Ronaldo,0,FW,22-Sep-76,17,3,Cruzeiro,Brazil,1,0,0,0,1,4
Viola-94,1994,21,Viola,0,FW,1-Jan-69,25,6,Corinthians,Brazil,1,0,1,0,1,5
G. Rinaldi-94,1994,22,G. Rinaldi,0,GK,13-Jan-59,35,8,Flamengo,Brazil,1,0,0,0,0,1
Taffarel-98,1998,1,Taffarel,0,GK,8-May-66,32,101,Atlético Mineiro,Brazil,1,0,1,0,0,12
Cafu-98,1998,2,Cafu,0,DF,7-Jun-70,28,69,Roma,Italy,1,0,1,0,1,12
Aldair-98,1998,3,Aldair,0,DF,30-Nov-65,32,72,Roma,Italy,1,0,1,0,0,12
Junior Baiano-98,1998,4,Junior Baiano,0,DF,14-Mar-70,28,18,Flamengo,Brazil,1,0,1,0,2,18
Cesar Sampaio-98,1998,5,Cesar Sampaio,0,MF,31-Mar-68,30,36,Yokohama Flügels,Japan,1,0,0,0,2,10
Roberto Carlos-98,1998,6,Roberto Carlos,0,DF,10-Apr-73,25,49,Real Madrid,Spain,1,0,1,0,0,10
Giovanni-98,1998,7,Giovanni,0,MF,4-Feb-72,26,15,Barcelona,Spain,1,1,1,0,1,2
Dunga-98,1998,8,Dunga,1,MF,31-Oct-63,34,89,Júbilo Iwata,Japan,1,0,1,0,0,8
Ronaldo-98,1998,9,Ronaldo,0,FW,22-Sep-76,21,40,Internazionale,Italy,1,0,1,0,6,11
Rivaldo-98,1998,10,Rivaldo,0,MF,19-Apr-72,26,19,Barcelona,Spain,1,1,1,0,3,7
Emerson-98,1998,11,Emerson,0,MF,4-Apr-76,22,3,Bayer Leverkusen,Germany,1,0,1,0,0,3
Carlos Germano-98,1998,12,Carlos Germano,0,GK,14-Aug-70,27,8,Vasco da Gama,Brazil,1,1,1,0,0,3
Ze Carlos-98,1998,13,Ze Carlos,0,DF,14-Nov-68,29,1,São Paulo,Brazil,1,0,0,0,0,1
